League,Match_Date,Matchweek,Team,Home_Away,Home_Team,Away_Team,Home_Score,Away_Score,Home_Formation,Away_Formation,season,Formation,npxG_Expected,SoT,xAG_Expected,SCA_SCA,GCA_SCA,PrgP_Passes,PrgC_Carries,Succ_Take_Ons,Tkl,Int,Blocks,team_Shots_MQS,team_DA_MQS,team_Poss_MQS,team_Def_MQS,team_MQS
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),Paris Saint-Germain,Away,Manchester City,Paris Saint-Germain,2,1,4-3-3,4-3-3,2021-2022,4-3-3,40.711175616835995,25.907111756168362,37.953555878084174,21.04499274310595,60.087082728592165,30.333817126269956,33.236574746008706,48.76632801161103,66.98113207547169,21.407837445573293,64.51378809869375,33.30914368650218,39.69521044992743,31.78519593613933,50.41727140783744,40.99485420240137
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),Beşiktaş,Home,Beşiktaş,Ajax,1,2,4-2-3-1,4-2-3-1,2021-2022,4-2-3-1,51.088534107402026,25.907111756168362,66.54571843251088,51.30624092888244,35.99419448476052,9.869375907111756,38.38896952104499,91.36429608127722,78.73730043541364,95.28301886792453,73.43976777939042,38.497822931785194,51.28205128205128,24.129172714078372,84.70609579100145,56.17495711835334
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),Ajax,Away,Beşiktaş,Ajax,1,2,4-2-3-1,4-2-3-1,2021-2022,4-2-3-1,89.69521044992743,79.10014513788099,90.9288824383164,87.15529753265602,67.12626995645864,89.62264150943396,86.5021770682148,72.42380261248186,59.50653120464441,21.407837445573293,85.05079825834542,84.39767779390421,81.73681664247702,88.06240928882438,59.59724238026125,75.31996305581211
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),Atlético Madrid,Home,Atlético Madrid,Milan,0,1,3-1-4-2,4-2-3-1,2021-2022,3-1-4-2,35.776487663280115,25.907111756168362,50.29027576197388,16.618287373004353,28.88243831640058,36.79245283018868,28.156748911465897,39.477503628447025,59.50653120464441,95.28301886792453,12.191582002902758,30.84179970972424,31.93033381712627,32.47460087082729,51.61465892597968,38.98931257421823
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),Milan,Away,Atlético Madrid,Milan,0,1,3-1-4-2,4-2-3-1,2021-2022,4-2-3-1,56.313497822931794,54.862119013062404,60.88534107402032,65.38461538461539,60.087082728592165,84.1799709724238,49.709724238026126,97.8955007256894,66.98113207547169,41.07402031930334,12.191582002902758,55.587808417997095,62.11901306240929,66.94484760522496,54.5355587808418,59.05132603245811
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),Club Brugge,Home,Club Brugge,RB Leipzig,0,5,3-4-3,4-1-2-1-2,2021-2022,3-4-3,35.776487663280115,41.146589259796805,37.953555878084174,34.034833091436866,28.88243831640058,44.70246734397678,43.83164005805516,99.7822931785196,66.98113207547169,75.39912917271407,64.51378809869375,38.46153846153846,33.62360909530721,44.26705370101597,76.66908563134977,52.091304921493595
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),RB Leipzig,Away,Club Brugge,RB Leipzig,0,5,3-4-3,4-1-2-1-2,2021-2022,4-1-2-1-2,96.15384615384616,99.12917271407838,92.16255442670537,87.15529753265602,95.50072568940493,53.77358490566038,33.236574746008706,39.477503628447025,78.73730043541364,95.28301886792453,73.43976777939042,97.64150943396227,91.60619254958877,43.50507982583454,71.73439767779391,76.7317588072305
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),Sheriff Tiraspol,Home,Sheriff Tiraspol,Real Madrid,0,3,4-2-3-1,4-3-3,2021-2022,4-2-3-1,61.82873730043541,68.86792452830188,66.54571843251088,55.22496371552975,28.88243831640058,13.062409288824384,22.35123367198839,7.619738751814223,21.988388969521043,21.407837445573293,79.75326560232222,65.34833091436865,50.217706821480405,17.706821480406386,32.69230769230769,40.684786911202
UEFA Champions League,2021-11-24,UEFA Champions League (Group stage),Real Madrid,Away,Sheriff Tiraspol,Real Madrid,0,3,4-2-3-1,4-3-3,2021-2022,4-3-3,65.74746008708273,92.3076923076923,66.54571843251088,81.42235123367199,86.13933236574745,86.2844702467344,92.67053701015965,64.73149492017417,59.50653120464441,75.39912917271407,7.329462989840348,79.02757619738752,78.0358006773101,89.47750362844702,51.74165457184325,70.73492545190658
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),RB Leipzig,Home,RB Leipzig,Manchester City,2,1,4-2-3-1,4-3-3,2021-2022,4-2-3-1,72.13352685050798,68.86792452830188,83.38171262699564,38.243831640058055,81.27721335268505,11.46589259796807,28.156748911465897,20.246734397677795,0.29027576197387517,30.478955007256893,91.8722786647315,70.50072568940493,67.63425253991292,19.811320754716984,35.72206095791002,47.85591766723842
